Date,Region,Service Category,Index Value
2019-01-01,Canada,Engineering services,100.6
2019-01-01,Canada,Surveying and mapping services,101.1
2019-01-01,Atlantic Region,"Architectural, engineering and related services price index",101.4
2019-01-01,Atlantic Region,Architectural and landscape architectural services,100.0
2019-01-01,Atlantic Region,Engineering services,101.4
2019-01-01,Atlantic Region,Surveying and mapping services,102.0
2019-01-01,Quebec,"Architectural, engineering and related services price index",101.6
2019-01-01,Quebec,Architectural and landscape architectural services,100.8
2019-01-01,Quebec,Engineering services,101.7
2019-01-01,Quebec,Surveying and mapping services,100.2
2019-01-01,Ontario,"Architectural, engineering and related services price index",101.5
2019-01-01,Ontario,Architectural and landscape architectural services,101.2
2019-01-01,Ontario,Engineering services,101.5
2019-01-01,Ontario,Surveying and mapping services,101.1
2019-01-01,Prairie Region,"Architectural, engineering and related services price index",99.8
2019-01-01,Prairie Region,Architectural and landscape architectural services,100.4
2019-01-01,Prairie Region,Engineering services,99.7
2019-01-01,Prairie Region,Surveying and mapping services,101.1
2019-01-01,British Columbia and territories,"Architectural, engineering and related services price index",102.3
2019-01-01,British Columbia and territories,Architectural and landscape architectural services,102.1
2019-01-01,British Columbia and territories,Engineering services,102.3
2019-01-01,British Columbia and territories,Surveying and mapping services,101.1
2019-04-01,Canada,"Architectural, engineering and related services price index",101.9
2019-04-01,Canada,Architectural and landscape architectural services,101.5
2019-04-01,Canada,Engineering services,101.9
2019-04-01,Canada,Surveying and mapping services,101.7
2019-04-01,Atlantic Region,"Architectural, engineering and related services price index",101.6
2019-04-01,Atlantic Region,Architectural and landscape architectural services,100.0
2019-04-01,Atlantic Region,Engineering services,101.7
2019-04-01,Atlantic Region,Surveying and mapping services,102.0
2019-04-01,Quebec,"Architectural, engineering and related services price index",104.9
2019-04-01,Quebec,Architectural and landscape architectural services,100.6
2019-04-01,Quebec,Engineering services,105.2
2019-04-01,Quebec,Surveying and mapping services,100.2
2019-04-01,Ontario,"Architectural, engineering and related services price index",101.6
2019-04-01,Ontario,Architectural and landscape architectural services,101.7
2019-04-01,Ontario,Engineering services,101.6
2019-04-01,Ontario,Surveying and mapping services,100.9
2019-04-01,Prairie Region,"Architectural, engineering and related services price index",101.3
2019-04-01,Prairie Region,Architectural and landscape architectural services,101.2
2019-04-01,Prairie Region,Engineering services,101.2
2019-04-01,Prairie Region,Surveying and mapping services,101.7
2019-04-01,British Columbia and territories,"Architectural, engineering and related services price index",102.4
2019-04-01,British Columbia and territories,Architectural and landscape architectural services,101.9
2019-04-01,British Columbia and territories,Engineering services,102.4
2019-04-01,British Columbia and territories,Surveying and mapping services,104.3
2019-07-01,Canada,"Architectural, engineering and related services price index",102.1
2019-07-01,Canada,Architectural and landscape architectural services,101.8
2019-07-01,Canada,Engineering services,102.2
2019-07-01,Canada,Surveying and mapping services,101.3
2019-07-01,Atlantic Region,"Architectural, engineering and related services price index",101.8
2019-07-01,Atlantic Region,Architectural and landscape architectural services,100.9
2019-07-01,Atlantic Region,Engineering services,101.9
2019-07-01,Atlantic Region,Surveying and mapping services,102.0
2019-07-01,Quebec,"Architectural, engineering and related services price index",105.9
2019-07-01,Quebec,Architectural and landscape architectural services,99.9
2019-07-01,Quebec,Engineering services,106.2
2019-07-01,Quebec,Surveying and mapping services,100.4
2019-07-01,Ontario,"Architectural, engineering and related services price index",101.9
2019-07-01,Ontario,Architectural and landscape architectural services,102.0
2019-07-01,Ontario,Engineering services,101.9
2019-07-01,Ontario,Surveying and mapping services,102.7
2019-07-01,Prairie Region,"Architectural, engineering and related services price index",101.3
2019-07-01,Prairie Region,Architectural and landscape architectural services,101.9
2019-07-01,Prairie Region,Engineering services,101.3
2019-07-01,Prairie Region,Surveying and mapping services,100.9
2019-07-01,British Columbia and territories,"Architectural, engineering and related services price index",102.9
2019-07-01,British Columbia and territories,Architectural and landscape architectural services,101.9
2019-07-01,British Columbia and territories,Engineering services,103.0
2019-07-01,British Columbia and territories,Surveying and mapping services,103.1
2019-10-01,Canada,"Architectural, engineering and related services price index",101.8
2019-10-01,Canada,Architectural and landscape architectural services,102.4
2019-10-01,Canada,Engineering services,101.8
2019-10-01,Canada,Surveying and mapping services,101.5
2019-10-01,Atlantic Region,"Architectural, engineering and related services price index",102.1
2019-10-01,Atlantic Region,Architectural and landscape architectural services,100.9
2019-10-01,Atlantic Region,Engineering services,102.2
2019-10-01,Atlantic Region,Surveying and mapping services,101.8
2019-10-01,Quebec,"Architectural, engineering and related services price index",107.2
2019-10-01,Quebec,Architectural and landscape architectural services,100.0
2019-10-01,Quebec,Engineering services,107.6
2019-10-01,Quebec,Surveying and mapping services,100.4
2019-10-01,Ontario,"Architectural, engineering and related services price index",101.8
2019-10-01,Ontario,Architectural and landscape architectural services,102.4
2019-10-01,Ontario,Engineering services,101.7
2019-10-01,Ontario,Surveying and mapping services,102.1
2019-10-01,Prairie Region,"Architectural, engineering and related services price index",100.8
2019-10-01,Prairie Region,Architectural and landscape architectural services,102.7
2019-10-01,Prairie Region,Engineering services,100.8
2019-10-01,Prairie Region,Surveying and mapping services,101.1
2019-10-01,British Columbia and territories,"Architectural, engineering and related services price index",101.0
2019-10-01,British Columbia and territories,Architectural and landscape architectural services,103.5
2019-10-01,British Columbia and territories,Engineering services,100.7
2019-10-01,British Columbia and territories,Surveying and mapping services,105.0
2020-01-01,Canada,"Architectural, engineering and related services price index",102.7
2020-01-01,Canada,Architectural and landscape architectural services,103.9
2020-01-01,Canada,Engineering services,102.6
2020-01-01,Canada,Surveying and mapping services,103.2
2020-01-01,Atlantic Region,"Architectural, engineering and related services price index",102.8
2020-01-01,Atlantic Region,Architectural and landscape architectural services,116.9
2020-01-01,Atlantic Region,Engineering services,102.2
2020-01-01,Atlantic Region,Surveying and mapping services,101.4
2020-01-01,Quebec,"Architectural, engineering and related services price index",108.2
2020-01-01,Quebec,Architectural and landscape architectural services,100.0
2020-01-01,Quebec,Engineering services,108.6
2020-01-01,Quebec,Surveying and mapping services,100.4
2020-01-01,Ontario,"Architectural, engineering and related services price index",102.4
2020-01-01,Ontario,Architectural and landscape architectural services,104.1
2020-01-01,Ontario,Engineering services,102.1
2020-01-01,Ontario,Surveying and mapping services,103.4
2020-01-01,Prairie Region,"Architectural, engineering and related services price index",101.6
2020-01-01,Prairie Region,Architectural and landscape architectural services,103.1
2020-01-01,Prairie Region,Engineering services,101.4
2020-01-01,Prairie Region,Surveying and mapping services,103.2
2020-01-01,British Columbia and territories,"Architectural, engineering and related services price index",103.2
2020-01-01,British Columbia and territories,Architectural and landscape architectural services,103.9
2020-01-01,British Columbia and territories,Engineering services,103.1
2020-01-01,British Columbia and territories,Surveying and mapping services,105.0
2020-04-01,Canada,"Architectural, engineering and related services price index",103.6
2020-04-01,Canada,Architectural and landscape architectural services,103.8
2020-04-01,Canada,Engineering services,103.6
2020-04-01,Canada,Surveying and mapping services,103.4
2020-04-01,Atlantic Region,"Architectural, engineering and related services price index",102.8
2020-04-01,Atlantic Region,Architectural and landscape architectural services,117.4
2020-04-01,Atlantic Region,Engineering services,102.0
2020-04-01,Atlantic Region,Surveying and mapping services,103.5
2020-04-01,Quebec,"Architectural, engineering and related services price index",111.0
2020-04-01,Quebec,Architectural and landscape architectural services,100.0
2020-04-01,Quebec,Engineering services,111.6
2020-04-01,Quebec,Surveying and mapping services,100.4
2020-04-01,Ontario,"Architectural, engineering and related services price index",103.3
2020-04-01,Ontario,Architectural and landscape architectural services,103.6
2020-04-01,Ontario,Engineering services,103.2
2020-04-01,Ontario,Surveying and mapping services,103.4
2020-04-01,Prairie Region,"Architectural, engineering and related services price index",101.9
2020-04-01,Prairie Region,Architectural and landscape architectural services,103.1
2020-04-01,Prairie Region,Engineering services,101.8
