Date,Region,Service Category,Index Value
2023-01-01,Quebec,Surveying and mapping services,109.5
2023-01-01,Ontario,"Architectural, engineering and related services price index",115.4
2023-01-01,Ontario,Architectural and landscape architectural services,111.0
2023-01-01,Ontario,Engineering services,116.4
2023-01-01,Ontario,Surveying and mapping services,105.3
2023-01-01,Prairie Region,"Architectural, engineering and related services price index",109.2
2023-01-01,Prairie Region,Architectural and landscape architectural services,112.7
2023-01-01,Prairie Region,Engineering services,109.4
2023-01-01,Prairie Region,Surveying and mapping services,103.8
2023-01-01,British Columbia and territories,"Architectural, engineering and related services price index",121.5
2023-01-01,British Columbia and territories,Architectural and landscape architectural services,122.0
2023-01-01,British Columbia and territories,Engineering services,121.6
2023-01-01,British Columbia and territories,Surveying and mapping services,113.7
2023-04-01,Canada,"Architectural, engineering and related services price index",115.2
2023-04-01,Canada,Architectural and landscape architectural services,113.3
2023-04-01,Canada,Engineering services,115.8
2023-04-01,Canada,Surveying and mapping services,105.7
2023-04-01,Atlantic Region,"Architectural, engineering and related services price index",114.2
2023-04-01,Atlantic Region,Architectural and landscape architectural services,120.5
2023-04-01,Atlantic Region,Engineering services,114.6
2023-04-01,Atlantic Region,Surveying and mapping services,100.5
2023-04-01,Quebec,"Architectural, engineering and related services price index",130.7
2023-04-01,Quebec,Architectural and landscape architectural services,110.6
2023-04-01,Quebec,Engineering services,131.8
2023-04-01,Quebec,Surveying and mapping services,109.8
2023-04-01,Ontario,"Architectural, engineering and related services price index",116.2
2023-04-01,Ontario,Architectural and landscape architectural services,112.0
2023-04-01,Ontario,Engineering services,117.2
2023-04-01,Ontario,Surveying and mapping services,105.6
2023-04-01,Prairie Region,"Architectural, engineering and related services price index",109.9
2023-04-01,Prairie Region,Architectural and landscape architectural services,112.3
2023-04-01,Prairie Region,Engineering services,110.1
2023-04-01,Prairie Region,Surveying and mapping services,105.4
2023-04-01,British Columbia and territories,"Architectural, engineering and related services price index",122.6
2023-04-01,British Columbia and territories,Architectural and landscape architectural services,118.9
2023-04-01,British Columbia and territories,Engineering services,123.1
2023-04-01,British Columbia and territories,Surveying and mapping services,113.7
2023-07-01,Canada,"Architectural, engineering and related services price index",116.4
2023-07-01,Canada,Architectural and landscape architectural services,113.9
2023-07-01,Canada,Engineering services,117.0
2023-07-01,Canada,Surveying and mapping services,105.6
2023-07-01,Atlantic Region,"Architectural, engineering and related services price index",114.7
2023-07-01,Atlantic Region,Architectural and landscape architectural services,120.5
2023-07-01,Atlantic Region,Engineering services,115.1
2023-07-01,Atlantic Region,Surveying and mapping services,101.0
2023-07-01,Quebec,"Architectural, engineering and related services price index",131.4
2023-07-01,Quebec,Architectural and landscape architectural services,110.6
2023-07-01,Quebec,Engineering services,132.6
2023-07-01,Quebec,Surveying and mapping services,109.8
2023-07-01,Ontario,"Architectural, engineering and related services price index",116.3
2023-07-01,Ontario,Architectural and landscape architectural services,112.4
2023-07-01,Ontario,Engineering services,117.3
2023-07-01,Ontario,Surveying and mapping services,105.9
2023-07-01,Prairie Region,"Architectural, engineering and related services price index",110.5
2023-07-01,Prairie Region,Architectural and landscape architectural services,114.1
2023-07-01,Prairie Region,Engineering services,110.7
2023-07-01,Prairie Region,Surveying and mapping services,105.2
2023-07-01,British Columbia and territories,"Architectural, engineering and related services price index",129.0
2023-07-01,British Columbia and territories,Architectural and landscape architectural services,118.9
2023-07-01,British Columbia and territories,Engineering services,130.2
2023-07-01,British Columbia and territories,Surveying and mapping services,114.1
2023-10-01,Canada,"Architectural, engineering and related services price index",116.5
2023-10-01,Canada,Architectural and landscape architectural services,114.9
2023-10-01,Canada,Engineering services,117.1
2023-10-01,Canada,Surveying and mapping services,105.9
2023-10-01,Atlantic Region,"Architectural, engineering and related services price index",116.0
2023-10-01,Atlantic Region,Architectural and landscape architectural services,123.9
2023-10-01,Atlantic Region,Engineering services,116.5
2023-10-01,Atlantic Region,Surveying and mapping services,101.0
2023-10-01,Quebec,"Architectural, engineering and related services price index",131.8
2023-10-01,Quebec,Architectural and landscape architectural services,110.6
2023-10-01,Quebec,Engineering services,133.0
2023-10-01,Quebec,Surveying and mapping services,109.8
2023-10-01,Ontario,"Architectural, engineering and related services price index",116.6
2023-10-01,Ontario,Architectural and landscape architectural services,113.3
2023-10-01,Ontario,Engineering services,117.4
2023-10-01,Ontario,Surveying and mapping services,105.9
2023-10-01,Prairie Region,"Architectural, engineering and related services price index",111.0
2023-10-01,Prairie Region,Architectural and landscape architectural services,115.3
2023-10-01,Prairie Region,Engineering services,111.2
2023-10-01,Prairie Region,Surveying and mapping services,105.6
2023-10-01,British Columbia and territories,"Architectural, engineering and related services price index",126.7
2023-10-01,British Columbia and territories,Architectural and landscape architectural services,120.3
2023-10-01,British Columbia and territories,Engineering services,127.5
2023-10-01,British Columbia and territories,Surveying and mapping services,114.1
2024-01-01,Canada,"Architectural, engineering and related services price index",119.5
2024-01-01,Canada,Architectural and landscape architectural services,114.7
2024-01-01,Canada,Engineering services,120.9
2024-01-01,Canada,Surveying and mapping services,105.5
2024-01-01,Atlantic Region,"Architectural, engineering and related services price index",121.7
2024-01-01,Atlantic Region,Architectural and landscape architectural services,129.3
2024-01-01,Atlantic Region,Engineering services,122.7
2024-01-01,Atlantic Region,Surveying and mapping services,99.2
2024-01-01,Quebec,"Architectural, engineering and related services price index",134.8
2024-01-01,Quebec,Architectural and landscape architectural services,112.0
2024-01-01,Quebec,Engineering services,136.9
2024-01-01,Quebec,Surveying and mapping services,105.7
2024-01-01,Ontario,"Architectural, engineering and related services price index",119.1
2024-01-01,Ontario,Architectural and landscape architectural services,111.5
2024-01-01,Ontario,Engineering services,121.0
2024-01-01,Ontario,Surveying and mapping services,107.5
2024-01-01,Prairie Region,"Architectural, engineering and related services price index",113.9
2024-01-01,Prairie Region,Architectural and landscape architectural services,115.9
2024-01-01,Prairie Region,Engineering services,114.5
2024-01-01,Prairie Region,Surveying and mapping services,105.7
2024-01-01,British Columbia and territories,"Architectural, engineering and related services price index",130.8
2024-01-01,British Columbia and territories,Architectural and landscape architectural services,120.5
2024-01-01,British Columbia and territories,Engineering services,132.5
2024-01-01,British Columbia and territories,Surveying and mapping services,114.1
2024-04-01,Canada,"Architectural, engineering and related services price index",121.1
2024-04-01,Canada,Architectural and landscape architectural services,117.0
2024-04-01,Canada,Engineering services,122.3
2024-04-01,Canada,Surveying and mapping services,107.1
2024-04-01,Atlantic Region,"Architectural, engineering and related services price index",122.3
2024-04-01,Atlantic Region,Architectural and landscape architectural services,135.0
2024-04-01,Atlantic Region,Engineering services,122.7
2024-04-01,Atlantic Region,Surveying and mapping services,100.1
2024-04-01,Quebec,"Architectural, engineering and related services price index",136.8
2024-04-01,Quebec,Architectural and landscape architectural services,114.6
2024-04-01,Quebec,Engineering services,138.5
2024-04-01,Quebec,Surveying and mapping services,109.9
2024-04-01,Ontario,"Architectural, engineering and related services price index",119.8
2024-04-01,Ontario,Architectural and landscape architectural services,113.5
2024-04-01,Ontario,Engineering services,121.3
2024-04-01,Ontario,Surveying and mapping services,108.9
2024-04-01,Prairie Region,"Architectural, engineering and related services price index",116.5
2024-04-01,Prairie Region,Architectural and landscape architectural services,116.5
2024-04-01,Prairie Region,Engineering services,117.6
2024-04-01,Prairie Region,Surveying and mapping services,105.2
2024-04-01,British Columbia and territories,"Architectural, engineering and related services price index",132.3
2024-04-01,British Columbia and territories,Architectural and landscape architectural services,124.0
2024-04-01,British Columbia and territories,Engineering services,133.5
2024-04-01,British Columbia and territories,Surveying and mapping services,118.7
2024-07-01,Canada,"Architectural, engineering and related services price index",121.7
2024-07-01,Canada,Architectural and landscape architectural services,117.1
2024-07-01,Canada,Engineering services,123.0
2024-07-01,Canada,Surveying and mapping services,107.2
2024-07-01,Atlantic Region,"Architectural, engineering and related services price index",122.3
2024-07-01,Atlantic Region,Architectural and landscape architectural services,135.3
2024-07-01,Atlantic Region,Engineering services,122.7
2024-07-01,Atlantic Region,Surveying and mapping services,100.1
2024-07-01,Quebec,"Architectural, engineering and related services price index",137.0
2024-07-01,Quebec,Architectural and landscape architectural services,114.2
2024-07-01,Quebec,Engineering services,138.7
2024-07-01,Quebec,Surveying and mapping services,110.4
2024-07-01,Ontario,"Architectural, engineering and related services price index",119.5
2024-07-01,Ontario,Architectural and landscape architectural services,114.0
2024-07-01,Ontario,Engineering services,120.8
2024-07-01,Ontario,Surveying and mapping services,109.1
2024-07-01,Prairie Region,"Architectural, engineering and related services price index",117.2
2024-07-01,Prairie Region,Architectural and landscape architectural services,116.1
2024-07-01,Prairie Region,Engineering services,118.4
2024-07-01,Prairie Region,Surveying and mapping services,105.3
2024-07-01,British Columbia and territories,"Architectural, engineering and related services price index",135.1
2024-07-01,British Columbia and territories,Architectural and landscape architectural services,124.3
2024-07-01,British Columbia and territories,Engineering services,136.8
2024-07-01,British Columbia and territories,Surveying and mapping services,117.8
2024-10-01,Canada,"Architectural, engineering and related services price index",122.4
2024-10-01,Canada,Architectural and landscape architectural services,116.1
2024-10-01,Canada,Engineering services,124.0
2024-10-01,Canada,Surveying and mapping services,107.8
2024-10-01,Atlantic Region,"Architectural, engineering and related services price index",122.4
2024-10-01,Atlantic Region,Architectural and landscape architectural services,136.8
2024-10-01,Atlantic Region,Engineering services,122.7
2024-10-01,Atlantic Region,Surveying and mapping services,100.1
2024-10-01,Quebec,"Architectural, engineering and related services price index",136.8
2024-10-01,Quebec,Architectural and landscape architectural services,111.5
2024-10-01,Quebec,Engineering services,139.2
2024-10-01,Quebec,Surveying and mapping services,110.4
2024-10-01,Ontario,"Architectural, engineering and related services price index",119.9
2024-10-01,Ontario,Architectural and landscape architectural services,113.9
2024-10-01,Ontario,Engineering services,121.4
2024-10-01,Ontario,Surveying and mapping services,109.6
2024-10-01,Prairie Region,"Architectural, engineering and related services price index",118.9
2024-10-01,Prairie Region,Architectural and landscape architectural services,116.1
2024-10-01,Prairie Region,Engineering services,120.3
2024-10-01,Prairie Region,Surveying and mapping services,106.1
2024-10-01,British Columbia and territories,"Architectural, engineering and related services price index",135.5
2024-10-01,British Columbia and territories,Architectural and landscape architectural services,121.6
2024-10-01,British Columbia and territories,Engineering services,137.7
2024-10-01,British Columbia and territories,Surveying and mapping services,118.9
